file_paths,targets
../PCB_imgs/all/resize/OK\ok_146.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (162).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_932.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1305.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (181).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_787.bmp.png,OK
../PCB_imgs/all/resize/NG\short (10).bmp.png,short
../PCB_imgs/all/resize/NG\Nick_32.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_1368.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool1 (43).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_139.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1208).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool (185).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_2705.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_694.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_452.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (208).bmp.png,eemool
../PCB_imgs/all/resize/NG\Nick_2428.bmp.png,Nick_
../PCB_imgs/all/resize/NG\short (35).bmp.png,short
../PCB_imgs/all/resize/OK\ok (185).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_844.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (119).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_824.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2039.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Nick_Dust_2380.bmp.png,Nick_Dust_
../PCB_imgs/all/resize/NG\milchack (4).bmp.png,milchack
../PCB_imgs/all/resize/NG\Dust_Nick_2127.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\miboo (144).bmp.png,miboo
../PCB_imgs/all/resize/NG\short (11).bmp.png,short
../PCB_imgs/all/resize/OK\ok_205.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2446.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_828.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (469).bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1206).bmp.png,miboo
../PCB_imgs/all/resize/NG\Dust_2057.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Dust_Nick_2118.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\miboo (1797).bmp.png,miboo
../PCB_imgs/all/resize/NG\lvh (15).bmp.png,lvh
../PCB_imgs/all/resize/NG\nick (86).bmp.png,nick
../PCB_imgs/all/resize/NG\Short_2550.bmp.png,Short_
../PCB_imgs/all/resize/NG\open (1).bmp.png,open
../PCB_imgs/all/resize/NG\Short_2536.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_1602.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (12).bmp.png,dust
../PCB_imgs/all/resize/NG\eemool (199).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (386).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_540.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_4.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (102).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_938.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_104.bmp.png,Short_
../PCB_imgs/all/resize/NG\miboo (1424).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_970.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (232).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_464.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (8).bmp.png,nick
../PCB_imgs/all/resize/NG\nick (115).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_238.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (6).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_137.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_29.bmp.png,Nick_
../PCB_imgs/all/resize/NG\nick (152).bmp.png,nick
../PCB_imgs/all/resize/NG\miboo (871).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_426.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2713.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok (455).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_118.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2417.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_1301.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1360.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_1997.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_717.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2220.bmp.png,Short_
../PCB_imgs/all/resize/NG\eemool (266).bmp.png,eemool
../PCB_imgs/all/resize/NG\open (30).bmp.png,open
../PCB_imgs/all/resize/OK\ok_74.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (4).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_829.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_845.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (271).bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1689).bmp.png,miboo
../PCB_imgs/all/resize/NG\Nick_35.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Nick_34.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_93.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (12).bmp.png,nick
../PCB_imgs/all/resize/NG\dust (216).bmp.png,dust
../PCB_imgs/all/resize/OK\ok (34).bmp.png,OK
../PCB_imgs/all/resize/NG\Scratch_2504.bmp.png,Scratch_
../PCB_imgs/all/resize/NG\Dust_1999.bmp.png,Dust_
../PCB_imgs/all/resize/NG\nick (83).bmp.png,nick
../PCB_imgs/all/resize/NG\dust (170).bmp.png,dust
../PCB_imgs/all/resize/OK\ok (519).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (608).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (98).bmp.png,eemool
../PCB_imgs/all/resize/NG\Short_2242.bmp.png,Short_
../PCB_imgs/all/resize/NG\Short_2224.bmp.png,Short_
../PCB_imgs/all/resize/NG\Scratch_2512.bmp.png,Scratch_
../PCB_imgs/all/resize/OK\ok_468.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (609).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_807.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (76).bmp.png,dust
../PCB_imgs/all/resize/OK\ok_397.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (610).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (169).bmp.png,eemool
../PCB_imgs/all/resize/NG\nick (84).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_520.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2112.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok_1318.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (48).bmp.png,OK
../PCB_imgs/all/resize/NG\dust (32).bmp.png,dust
../PCB_imgs/all/resize/NG\short (27).bmp.png,short
../PCB_imgs/all/resize/NG\dust (172).bmp.png,dust
../PCB_imgs/all/resize/NG\miboo (1543).bmp.png,miboo
../PCB_imgs/all/resize/NG\Dust_8.bmp.png,Dust_
../PCB_imgs/all/resize/NG\nick (134).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_826.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1687).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (308).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_969.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2559.bmp.png,Short_
../PCB_imgs/all/resize/NG\eemool1 (56).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_Nick_2075.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\eemool (45).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_84.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (633).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_317.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2190.bmp.png,Short_
../PCB_imgs/all/resize/NG\dust (175).bmp.png,dust
../PCB_imgs/all/resize/NG\Nick_2452.bmp.png,Nick_
../PCB_imgs/all/resize/NG\miboo (297).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_1.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2701.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Nick_2431.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_797.bmp.png,OK
../PCB_imgs/all/resize/NG\short (49).bmp.png,short
../PCB_imgs/all/resize/NG\nick (103).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_1374.bmp.png,OK
../PCB_imgs/all/resize/NG\scratch (18).bmp.png,scratch
../PCB_imgs/all/resize/NG\miboo (695).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (382).bmp.png,OK
../PCB_imgs/all/resize/NG\nick (97).bmp.png,nick
../PCB_imgs/all/resize/NG\Dust_Nick_2089.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok_896.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_939.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_200.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2465.bmp.png,Nick_
../PCB_imgs/all/resize/NG\miboo (1084).bmp.png,miboo
../PCB_imgs/all/resize/NG\nick (66).bmp.png,nick
../PCB_imgs/all/resize/NG\miboo (1305).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_848.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2726.bmp.png,Dust_
../PCB_imgs/all/resize/NG\dust (176).bmp.png,dust
../PCB_imgs/all/resize/OK\ok_968.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (8).bmp.png,dust
../PCB_imgs/all/resize/NG\eemool (142).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_551.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (358).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_341.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (232).bmp.png,miboo
../PCB_imgs/all/resize/NG\milchack (8).bmp.png,milchack
../PCB_imgs/all/resize/OK\ok (134).bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1891).bmp.png,miboo
../PCB_imgs/all/resize/NG\Nick_2150.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Short_2200.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_472.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_89.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (248).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_2719.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Dust_Nick_2094.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\miboo (537).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_686.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2113.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\miboo (1104).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_250.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_553.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (168).bmp.png,eemool
../PCB_imgs/all/resize/NG\miboo (535).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_863.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1515.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_16.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2432.bmp.png,Nick_
../PCB_imgs/all/resize/NG\miboo (426).bmp.png,miboo
../PCB_imgs/all/resize/NG\open (23).bmp.png,open
../PCB_imgs/all/resize/OK\ok_246.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_373.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool1 (71).bmp.png,eemool
../PCB_imgs/all/resize/NG\short (14).bmp.png,short
../PCB_imgs/all/resize/NG\Nick_Dust_2378.bmp.png,Nick_Dust_
../PCB_imgs/all/resize/OK\ok (372).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (460).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_360.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (210).bmp.png,eemool
../PCB_imgs/all/resize/NG\miboo (1169).bmp.png,miboo
../PCB_imgs/all/resize/NG\Short_2404.bmp.png,Short_
../PCB_imgs/all/resize/NG\Dust_Nick_2067.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok_442.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2674.bmp.png,Dust_
../PCB_imgs/all/resize/NG\lvh (31).bmp.png,lvh
../PCB_imgs/all/resize/NG\Dust_1991.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_671.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2399.bmp.png,Short_
../PCB_imgs/all/resize/NG\miboo (713).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (621).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_103.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_592.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_Dust_2374.bmp.png,Nick_Dust_
../PCB_imgs/all/resize/NG\Dust_2313.bmp.png,Dust_
../PCB_imgs/all/resize/NG\nick (90).bmp.png,nick
../PCB_imgs/all/resize/OK\ok (431).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_290.bmp.png,OK
../PCB_imgs/all/resize/NG\miboosik (20).bmp.png,miboosik
../PCB_imgs/all/resize/NG\Dust_Nick_2097.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\Short_2570.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_366.bmp.png,OK
../PCB_imgs/all/resize/NG\Open_2175.bmp.png,Open_
../PCB_imgs/all/resize/NG\short (76).bmp.png,short
../PCB_imgs/all/resize/OK\ok_411.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2735.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok (522).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (390).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool1 (72).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool1 (59).bmp.png,eemool
../PCB_imgs/all/resize/NG\miboo (1591).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool (231).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (406).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_308.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_359.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1260.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool1 (40).bmp.png,eemool
../PCB_imgs/all/resize/NG\dust (66).bmp.png,dust
../PCB_imgs/all/resize/NG\Nick_2159.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Short_2250.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_6.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_38.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Nick_23.bmp.png,Nick_
../PCB_imgs/all/resize/NG\miboo (1511).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool (277).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (615).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (593).bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (286).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_761.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_1977.bmp.png,Dust_
../PCB_imgs/all/resize/NG\eemool (143).bmp.png,eemool
../PCB_imgs/all/resize/NG\lvh (28).bmp.png,lvh
../PCB_imgs/all/resize/NG\nick (28).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_867.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_458.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2246.bmp.png,Short_
../PCB_imgs/all/resize/NG\Nick_Dust_2365.bmp.png,Nick_Dust_
../PCB_imgs/all/resize/NG\miboo (469).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_87.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2309.bmp.png,Dust_
../PCB_imgs/all/resize/NG\miboo (578).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool (14).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_301.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_195.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (287).bmp.png,OK
../PCB_imgs/all/resize/NG\dust (13).bmp.png,dust
../PCB_imgs/all/resize/NG\Nick_2145.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok (392).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_404.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (144).bmp.png,dust
../PCB_imgs/all/resize/NG\Dust_4.bmp.png,Dust_
../PCB_imgs/all/resize/NG\miboo (1098).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool (38).bmp.png,eemool
../PCB_imgs/all/resize/NG\Nick_2151.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok (418).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2646.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_991.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2553.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok (255).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (190).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (619).bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2223.bmp.png,Short_
../PCB_imgs/all/resize/NG\miboo (903).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_930.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool1 (64).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (366).bmp.png,OK
../PCB_imgs/all/resize/NG\nick (39).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_105.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (99).bmp.png,dust
../PCB_imgs/all/resize/NG\eemool (137).bmp.png,eemool
../PCB_imgs/all/resize/NG\Scratch_2511.bmp.png,Scratch_
../PCB_imgs/all/resize/NG\short (2).bmp.png,short
../PCB_imgs/all/resize/NG\dust (180).bmp.png,dust
../PCB_imgs/all/resize/NG\short (28).bmp.png,short
../PCB_imgs/all/resize/OK\ok_741.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2425.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Short_2513.bmp.png,Short_
../PCB_imgs/all/resize/NG\eemool (219).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_1624.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (328).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_53.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_23.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_860.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_53.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_869.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_396.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_273.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_470.bmp.png,OK
../PCB_imgs/all/resize/NG\short_2759.bmp.png,short_
../PCB_imgs/all/resize/OK\ok_198.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_292.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_813.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (617).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1329.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (509).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2660.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Dust_2300.bmp.png,Dust_
../PCB_imgs/all/resize/NG\nick (93).bmp.png,nick
../PCB_imgs/all/resize/NG\Nick_Dust_2358.bmp.png,Nick_Dust_
../PCB_imgs/all/resize/NG\nick (142).bmp.png,nick
../PCB_imgs/all/resize/NG\miboo (346).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_955.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2185.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_181.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (22).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_461.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_1969.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok (17).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_272.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_Dust_2367.bmp.png,Nick_Dust_
../PCB_imgs/all/resize/NG\miboo (1144).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool (12).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_231.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2149.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_1346.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (55).bmp.png,OK
../PCB_imgs/all/resize/NG\milchack (6).bmp.png,milchack
../PCB_imgs/all/resize/OK\ok_17.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_764.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1342.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1266.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2464.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_862.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (96).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_856.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2720.bmp.png,Dust_
../PCB_imgs/all/resize/NG\nick (74).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_1314.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_1976.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Dust_2682.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Nick_2459.bmp.png,Nick_
../PCB_imgs/all/resize/NG\dust (146).bmp.png,dust
../PCB_imgs/all/resize/NG\Dust_2714.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_753.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (109).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_1323.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1484.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_796.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (86).bmp.png,dust
../PCB_imgs/all/resize/OK\ok (478).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_877.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1359).bmp.png,miboo
../PCB_imgs/all/resize/NG\Open_2487.bmp.png,Open_
../PCB_imgs/all/resize/NG\eemool (17).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool1 (52).bmp.png,eemool
../PCB_imgs/all/resize/NG\nick (156).bmp.png,nick
../PCB_imgs/all/resize/NG\lvh (22).bmp.png,lvh
../PCB_imgs/all/resize/NG\short_2761.bmp.png,short_
../PCB_imgs/all/resize/NG\dust (110).bmp.png,dust
../PCB_imgs/all/resize/NG\Short_2543.bmp.png,Short_
../PCB_imgs/all/resize/NG\nick (9).bmp.png,nick
../PCB_imgs/all/resize/OK\ok (564).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_248.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_128.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2532.bmp.png,Short_
../PCB_imgs/all/resize/NG\miboo (590).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool (41).bmp.png,eemool
../PCB_imgs/all/resize/NG\Short_2184.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_929.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (595).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2007.bmp.png,Dust_
